"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Usman Garuba","19.93","PF","HOU","IND","18.2","4,200","4.74","-1.07"
"Jalen McDaniels","19.76","PF","CHA","CLE","23.4","4,800","4.12","-4.24"
"Lamar Stevens","19.49","PF","CLE","CHA","27.2","4,200","4.64","-1.51"
"Austin Reaves","19.27","SF/SG","LAL","DET","28.1","4,400","4.38","-2.73"
"Jalen Williams","19.21","SG","OKC","MEM","26.0","4,700","4.09","-4.29"
"Mo Bamba","19.20","C","ORL","CHI","17.5","4,600","4.17","-3.80"
"Will Barton","19.15","SG/SF","WAS","MIA","23.3","4,700","4.08","-4.35"
"Tyus Jones","19.13","PG","MEM","OKC","20.2","4,800","3.99","-4.87"
"Patrick Williams","18.88","SF/PF","CHI","ORL","26.1","4,000","4.72","-1.12"
"Obi Toppin","18.68","PF","NYK","GSW","18.4","4,100","4.56","-1.82"
"Caris LeVert","18.67","SG/SF","CLE","CHA","22.7","6,300","2.96","-12.83"
"Andrew Nembhard","18.65","SG","IND","HOU","24.6","3,500","5.33","1.15"
"Alex Caruso","18.41","PG/SG","CHI","ORL","23.2","4,600","4.00","-4.59"
"Grayson Allen","18.37","SG/SF","MIL","PHI","26.6","4,700","3.91","-5.13"
"Nick Richards","18.14","C","CHA","CLE","20.4","4,400","4.12","-3.86"
"Naji Marshall","17.52","SF","NOP","BOS","22.7","4,000","4.38","-2.48"
"T.J. McConnell","17.40","PG/SG","IND","HOU","17.3","3,900","4.46","-2.10"
"Théo Maledon","17.36","PG","CHA","CLE","22.5","4,400","3.95","-4.64"
"Dennis Schröder","17.32","SG/PG","LAL","DET","18.3","4,600","3.76","-5.68"
"Zeke Nnaji","17.20","PF/C","DEN","DAL","22.4","3,700","4.65","-1.30"
"Paul Reed","17.14","C","PHI","MIL","14.3","3,700","4.63","-1.36"
"Josh Christopher","17.12","SG","HOU","IND","19.3","3,500","4.89","-0.38"
"Jeff Green","17.04","PF/SF","DEN","DAL","24.5","3,500","4.87","-0.46"
"Matisse Thybulle","17.00","SF","PHI","MIL","23.8","3,500","4.86","-0.50"
"Aaron Wiggins","16.76","SG","OKC","MEM","23.5","4,400","3.81","-5.24"
"Damion Lee","16.67","SG","PHX","UTA","23.5","4,400","3.79","-5.33"
"Talen Horton-Tucker","16.29","SG/SF","UTA","PHX","16.9","4,000","4.07","-3.71"
"Danuel House Jr.","16.06","SF","PHI","MIL","26.4","3,700","4.34","-2.44"
"MarJon Beauchamp","16.05","SF","MIL","PHI","27.9","3,800","4.22","-2.95"
"Wenyen Gabriel","15.99","PF","LAL","DET","17.1","3,900","4.10","-3.51"
"Jericho Sims","15.97","C","NYK","GSW","19.1","4,200","3.80","-5.03"
"Terrence Ross","15.80","SG/SF","ORL","CHI","23.9","4,000","3.95","-4.20"
"Hamidou Diallo","15.71","SG/SF","DET","LAL","15.8","3,800","4.13","-3.29"
"Daniel Gafford","15.37","C","WAS","MIA","14.1","4,600","3.34","-7.63"
